id,password,last_login,is_superuser,username,first_name,last_name,email,is_staff,is_active,date_joined,tipo_usuario
1,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri1,,,,false,true,2025-07-22 02:53:28.131357+00,agricultor
2,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri2,,,,false,true,2025-07-22 02:53:28.364276+00,agricultor
3,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri3,,,,false,true,2025-07-22 02:53:28.47979+00,agricultor
4,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri4,,,,false,true,2025-07-22 02:53:28.594327+00,agricultor
5,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri5,,,,false,true,2025-07-22 02:53:28.70999+00,agricultor
6,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri6,,,,false,true,2025-07-22 02:53:28.823935+00,agricultor
7,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri7,,,,false,true,2025-07-22 02:53:28.940573+00,agricultor
8,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri8,,,,false,true,2025-07-22 02:53:29.054657+00,agricultor
9,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri9,,,,false,true,2025-07-22 02:53:29.169247+00,agricultor
10,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri10,,,,false,true,2025-07-22 02:53:29.283027+00,agricultor
11,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri11,,,,false,true,2025-07-22 02:53:29.397469+00,agricultor
12,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri12,,,,false,true,2025-07-22 02:53:29.511091+00,agricultor
13,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri13,,,,false,true,2025-07-22 02:53:29.625552+00,agricultor
14,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri14,,,,false,true,2025-07-22 02:53:29.74004+00,agricultor
15,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri15,,,,false,true,2025-07-22 02:53:29.854835+00,agricultor
16,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri16,,,,false,true,2025-07-22 02:53:29.969632+00,agricultor
17,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri17,,,,false,true,2025-07-22 02:53:30.084991+00,agricultor
18,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri18,,,,false,true,2025-07-22 02:53:30.199916+00,agricultor
19,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri19,,,,false,true,2025-07-22 02:53:30.314046+00,agricultor
20,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,agri20,,,,false,true,2025-07-22 02:53:30.428678+00,agricultor
21,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,cliente1,,,,false,true,2025-07-22 02:53:30.54341+00,cliente
22,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,cliente2,,,,false,true,2025-07-22 02:53:30.771903+00,cliente
23,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,cliente3,,,,false,true,2025-07-22 02:53:30.999885+00,cliente
24,pbkdf2_sha256$600000$eNwW3uQotEZ1k0AbI3EnSt$g3iCHvw6ngvdyS/6QFwAfq6L9zQUFczWyAPjH9AIg3I=,null,false,cliente4,,,,false,true,2025-07-22 02:53:31.228372+00,cliente
25,pbkdf2_sha256$1000000$NXyZE1RAtvVpoNoswZ9Wwb$f+9SVfGcp8dCESKoet6ucfqmdO5TzNaHLRfw+IVw2Rk=,null,false,cliente_test,,,cliente1@example.com,false,true,2025-07-22 19:44:05.056705+00,cliente
38,pbkdf2_sha256$1000000$exA6tE0gylZSmRp3FmrpFK$bc+8an4pQWSTFONdxmgc1lNWEo8bPDudXPudVxvAh3k=,null,false,agricultor03,,,,false,true,2025-07-23 16:34:07.216015+00,agricultor
30,pbkdf2_sha256$1000000$xHkpBMYDGPLlvNZV8jGMD9$xQGy1zwOj8/AvKe1xr9mkGrceYSOJPZIHJZ3MFSHwHo=,null,false,cliente01,,,,false,true,2025-07-22 21:56:15.537965+00,cliente
31,pbkdf2_sha256$1000000$T1J5rNaH0fSGHw5K0FlnEM$n7cwBjfQroS2q479bxztv9eMrA9QFsNXFQwsMyIuWK0=,null,false,cliente02,,,,false,true,2025-07-22 22:07:55.455655+00,cliente
39,pbkdf2_sha256$1000000$gPfvrF0u0z7E8l6ekTvXjp$T1TeL7xZNZ8OQcc8qFZCTbFwSwbahafchPChuj6kjeY=,null,false,cliente06,,,,false,true,2025-07-23 17:41:21.000763+00,cliente
32,pbkdf2_sha256$1000000$AaAjwNfIyxwbQPkOv7lHDH$K9XQtO2LPfsXVyapkUlIJWHX3Um2NY+/fVBMFYklooA=,null,false,cliente03,,,,false,true,2025-07-22 22:20:23.907746+00,cliente
33,pbkdf2_sha256$1000000$1Fpf2qHrdvOenrs1zM4emb$Y6kb3vMbZ/g9sEw8KlIaAmJWS0bVGDST3v0XOYTNw+E=,null,false,cliente04,,,,false,true,2025-07-23 00:21:50.355188+00,cliente
34,pbkdf2_sha256$1000000$lQ3aeQKJhqsjjbV5cdd2I9$As5Eav5Bl8WhRkBxKzz+ubzdgZ7gftBiYcnRPQjQrCY=,null,false,agricultor01,,,,false,true,2025-07-23 00:27:39.00288+00,agricultor
40,pbkdf2_sha256$1000000$sep6u6uktn7cC6sXMHWdjB$YLhyX1tMLR9cY+vu9rhsJzgHCufT8B/RV2ka/XhDm2Y=,null,false,cliente07,,,,false,true,2025-07-24 13:57:21.833504+00,cliente
41,pbkdf2_sha256$1000000$j2kTNfnQjZaBHgioqDIBpo$Kv0HHae5+0Eo5ieczqc1pkDYX+92xU3MEbFXAAf1j/E=,null,false,agricultor04,,,,false,true,2025-07-24 13:58:25.096518+00,agricultor
45,pbkdf2_sha256$1000000$mgEewoqALMK3Vht9yDEgjg$Dmk57e88hROV6K8Wo8FkYaMmjFeYB4QJEtB5DM0xgrE=,null,false,daigo,,,,false,true,2025-07-25 21:42:40.993095+00,agricultor
35,pbkdf2_sha256$1000000$UCVvtXaQKiqCHoRa84YqFY$b3r4+15fvNwDR5Es9s4JfOAJpRFSKvnLlQJ6r9pklYI=,null,false,agricultor02,,,,false,true,2025-07-23 05:11:41.980113+00,agricultor
37,pbkdf2_sha256$1000000$W8IVdLnuBDzn7YRTJ2eMJi$LUysCgL4tGESmnaDdQOUuoH5Pu1KrvHk9H3pSNfmNp4=,null,false,cliente05,,,,false,true,2025-07-23 16:32:58.77528+00,cliente
42,pbkdf2_sha256$1000000$1iMIa2pFeDoWq5KvjAkJ5b$PqML9jPM59ascmPpuvORNe98kq8RfVIQSHOs7z4gQF0=,null,false,cliente08,,,,false,true,2025-07-25 04:19:29.133356+00,cliente
43,pbkdf2_sha256$1000000$2z15Dr6jPgWw8KJRQbr5Ho$4QdndSUtMOlS4SOPpLYlYws3mUTdXHvxroSwCr+8qMU=,null,false,agricultor,,,,false,true,2025-07-25 04:21:04.326144+00,agricultor
46,pbkdf2_sha256$1000000$WuWAia09fht1BkG4G8u0xa$uHnWywYa5b3otHO1u7dyPvCDzFRV8KIoMHj0lYniZkI=,null,false,dario123,,,,false,true,2025-07-25 23:28:50.35459+00,cliente
44,pbkdf2_sha256$1000000$cKumbItiTre8MHNKnXQr3n$GKimHnjzMIGmFow9kzT0OzXeZ8U9A+QxhpOLN/ET9WA=,null,false,javier,,,,false,true,2025-07-25 21:37:40.711455+00,cliente
47,pbkdf2_sha256$1000000$Nfk01tyJ0F57Vut2RhbmXo$dbjcFU127anNJ7fkHWv+l2ubgG9XW2QeZXkys7Q+TEM=,null,false,cliente09,,,,false,true,2025-07-26 00:12:19.292265+00,cliente
48,pbkdf2_sha256$1000000$JEyKpYa7bk8LOkLogJCQLx$uKbkvLsYV8FdgbWdOJmpV1sqZwFbHXfiJlfVgiZuCBg=,null,false,agricultor05,,,,false,true,2025-07-26 00:14:13.477629+00,agricultor
36,pbkdf2_sha256$1000000$JOJszxcvIUKIqgGKRGmCfK$VW78x7BgLI4qxdsrWN8khhoe3sjQ3rGdudArAVtfZeg=,2025-07-26 00:37:02.367208+00,true,admin1,,,admin1@gmail.com,true,true,2025-07-23 15:37:41.273321+00,admin
49,pbkdf2_sha256$1000000$MyUSlIYNRbnpM3wC4wWv5a$u/p1Pgt3V2LMo5Up+zJaiHCylpiB3Zxe3f6OPZOl4yM=,null,false,cliente10,,,,false,true,2025-07-26 00:40:38.028584+00,cliente
50,pbkdf2_sha256$1000000$Z1Ct5Z8UkkUlUAggecJM91$G2KqLb7RRY0+7o7ode1xQh6LgiI7UgrF3CaHFq04uqY=,null,false,agricultor06,,,,false,true,2025-07-26 00:42:16.755822+00,agricultor
26,pbkdf2_sha256$1000000$UxVou4CGJ8BidUUSlqpSTx$M2LaviLhw+muXHJAoGLxYJYGEl9xYBhsqiCzjLqfD4c=,2025-07-26 22:17:26.470474+00,true,admin,,,admin@gmail.com,true,true,2025-07-22 20:58:11.558814+00,admin
